Description	Resource	Path	Location	Type
Plug-in reference 'ch.qos.logback.classic' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1068	Plug-in Problem
Plug-in reference 'ch.qos.logback.core' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1075	Plug-in Problem
Plug-in reference 'ch.qos.logback.slf4j' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1082	Plug-in Problem
Plug-in reference 'javax.xml' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 58	Plug-in Problem
Plug-in reference 'org.apache.batik.util.gui' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 92	Plug-in Problem
Plug-in reference 'org.apache.lucene.misc' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1392	Plug-in Problem
Plug-in reference 'org.apache.xerces' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1097	Plug-in Problem
Plug-in reference 'org.apache.xml.resolver' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1104	Plug-in Problem
Plug-in reference 'org.apache.xml.serializer' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1111	Plug-in Problem
Plug-in reference 'org.eclipse.equinox.ds' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 540	Plug-in Problem
Plug-in reference 'org.eclipse.equinox.region' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1307	Plug-in Problem
Plug-in reference 'org.eclipse.equinox.transforms.hook' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1514	Plug-in Problem
Plug-in reference 'org.eclipse.equinox.util' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 610	Plug-in Problem
Plug-in reference 'org.eclipse.equinox.weaving.hook' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1522	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.archetype.common' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1427	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.core.ui' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1440	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.core' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1433	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.logback.appender' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1447	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.maven.indexer' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1455	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.maven.runtime.slf4j.simple' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1467	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.maven.runtime' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1461	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.model.edit' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1473	Plug-in Problem
Plug-in reference 'org.eclipse.m2e.workspace.cli' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1480	Plug-in Problem
Plug-in reference 'org.eclipse.wst.common.core' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1195	Plug-in Problem
Plug-in reference 'org.eclipse.wst.common.emf' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1202	Plug-in Problem
Plug-in reference 'org.eclipse.wst.common.environment' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1209	Plug-in Problem
Plug-in reference 'org.eclipse.wst.common.frameworks' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1216	Plug-in Problem
Plug-in reference 'org.eclipse.wst.common.uriresolver' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1223	Plug-in Problem
Plug-in reference 'org.eclipse.wst.sse.core' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1230	Plug-in Problem
Plug-in reference 'org.eclipse.wst.xml.core' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1237	Plug-in Problem
Plug-in reference 'org.slf4j.api' cannot be resolved	feature.xml	/it.imt.erode.crn.platform.feature	line 1244	Plug-in Problem
